id,,Totals,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
61,Harvard University,717.6328378,7,10,7,7,7,10,7,10,10,0.7256235828,1.56462585,10,7,10,0,1.233333333,7,7,0.01907692308,5.322258065,20,0,0,16.4,7,7,7,28.16709957,16.878,7,7,0,7,9.99,6.783651105,0,1.023622047,19.8,16.6,10,10,7,7,7,7,7,7,25,14.868138,19.3974093,10,20,30,30,10,30,15,25,15,20,7,40,41.86
62,Haverford College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
63,Hobart and William Smith Colleges,615.7551376,7,10,7,7,7,10,7,10,10,1.783166904,5.492154066,8.506944444,7,10,10,1.569506726,4.925925926,5.25,0,0,20,20,0,11.8,7,7,7,16.6,22.89118642,7,7,7,4.745383996,6.66,1.039822734,0,1.139240506,18.72,4.6,10,10,7,0,0,7,0,7,5.538992881,12.93335672,17.55945627,10,20,0,27,10,20,15,25,0,0,7,40,65
64,Indiana State University,576.6205343,7,10,0,7,7,10,7,10,0,0.8497316637,0.156529517,0.6694855532,7,10,10,1.195876289,6.416666667,7,0.7070033155,0,20,15,15,13.6,7,7,7,49.74814509,15.00023222,7,7,7,5.16576582,3.33,1.747018042,0,1.219512195,6,2.8,0,0,7,7,0,0,0,7,9.292015309,17.42255266,17.3,10,20,30,27,10,30,0,25,0,20,7,40,0
65,Indiana University Bloomington,531.030739,7,10,7,5.6,7,10,7,10,10,1.046475839,1.369652201,10,7,10,0,0.3243243243,4.726804124,7,0,6.848443207,20,5,0,11.018,7,7,0,16.6,15.41279751,7,7,7,6.77380486,9.99,4.13578775,7,0.1181318681,17.2,5.4,10,10,7,7,7,7,0,7,0,13.46651732,0,10,20,0,30,10,30,15,25,0,0,7,40,0
66,Juniata College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
67,Kent State University,404.8801088,0,10,7,2.1,7,10,7,10,0,0.4317200636,0.4317200636,0,7,10,0,0.5591054313,5.25,0,0,4.373085302,0,0,0,,7,0,0,46.35483363,0,7,7,0,0,9.99,7.742804911,0,4.071672355,0,0,10,0,7,0,0,0,0,7,,13.44380838,17.7559587,10,20,,30,0,30,0,25,0,0,7,30,27.3754
68,Knox College,571.6431893,7,7.5,7,4.9,7,10,7,10,0,0.8372093023,1.511627907,4.746835443,7,10,0,1.666666667,5.890243902,0,0,0,20,0,0,10.6,7,0,7,48.91499415,16.25415361,7,7,0,5.712,9.99,8.25,0,2.222222222,18.8,2.48,10,10,0,7,7,0,0,7,0,13.18890815,15.71832792,10,20,30,27,10,30,15,25,0,0,0,40,31.46
69,Lehigh University,522.8405562,7,10,7,6.3,7,10,7,10,10,0.580495356,2.825077399,0,7,10,0,0,0,5.25,0.07335450503,8,20,0,0,11.4,7,7,7,16.6,0,7,7,0,7,0,8.789720497,0,0.07194244604,15.14,1.98,10,0,7,7,0,7,7,7,1.055506445,14.81245951,0,10,20,30,24,10,30,15,25,0,0,7,40,26.962
70,Lewis & Clark College,716.9041717,7,7.5,7,7,7,10,7,10,0,2.730030334,3.235591507,10,0,10,0,1.544117647,6.65,7,0,7.544877928,20,10,0,15.6,7,7,7,50,45,7,7,0,4.487087155,9.99,8.657101549,0,5,17,4,0,10,7,7,7,7,7,7,17.46270797,16.23382244,13.5088352,10,20,30,27,10,30,15,25,15,20,7,40,32.76
